Partition,c,λ2,r,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"18 13 1 1 1 1 1 1 1 1 1 1",18,13,12,3,N,Winning,N,41,41,1,"[R0C17]"
"19 13 1 1 1 1 1 1 1 1 1 1",19,13,12,0,P,Losing,P,42,42,0,"N/A (P-position)"
"20 13 1 1 1 1 1 1 1 1 1 1",20,13,12,1,N,Winning,N,43,43,1,"[R0C19]"
"14 14 1 1 1 1 1 1 1 1 1 1",14,14,12,0,P,Losing,P,38,38,0,"N/A (P-position)"
"15 14 1 1 1 1 1 1 1 1 1 1",15,14,12,5,N,Winning,N,39,39,2,"[R0C14] / [R1C13]"
"16 14 1 1 1 1 1 1 1 1 1 1",16,14,12,6,N,Winning,N,39,40,1,"[R0C15,R1C13]"
"17 14 1 1 1 1 1 1 1 1 1 1",17,14,12,3,N,Winning,N,41,41,1,"[R1C13]"
"18 14 1 1 1 1 1 1 1 1 1 1",18,14,12,4,N,Winning,N,41,42,1,"[R0C17,R1C13]"
"19 14 1 1 1 1 1 1 1 1 1 1",19,14,12,1,N,Winning,N,43,43,1,"[R1C13]"
"20 14 1 1 1 1 1 1 1 1 1 1",20,14,12,2,N,Winning,N,43,44,1,"[R0C19,R1C13]"
"15 15 1 1 1 1 1 1 1 1 1 1",15,15,12,0,P,Losing,P,40,40,0,"N/A (P-position)"
"16 15 1 1 1 1 1 1 1 1 1 1",16,15,12,1,N,Winning,N,41,41,1,"[R0C15]"
"17 15 1 1 1 1 1 1 1 1 1 1",17,15,12,0,P,Losing,P,42,42,0,"N/A (P-position)"
"18 15 1 1 1 1 1 1 1 1 1 1",18,15,12,1,N,Winning,N,43,43,1,"[R0C17]"
"19 15 1 1 1 1 1 1 1 1 1 1",19,15,12,0,P,Losing,P,44,44,0,"N/A (P-position)"
"20 15 1 1 1 1 1 1 1 1 1 1",20,15,12,3,N,Winning,N,45,45,1,"[R0C19]"
"16 16 1 1 1 1 1 1 1 1 1 1",16,16,12,0,P,Losing,P,42,42,0,"N/A (P-position)"
"17 16 1 1 1 1 1 1 1 1 1 1",17,16,12,4,N,Winning,N,43,43,2,"[R0C16] / [R1C15]"
"18 16 1 1 1 1 1 1 1 1 1 1",18,16,12,6,N,Winning,N,43,44,1,"[R0C17,R1C15]"
"19 16 1 1 1 1 1 1 1 1 1 1",19,16,12,3,N,Winning,N,45,45,1,"[R1C15]"
"20 16 1 1 1 1 1 1 1 1 1 1",20,16,12,4,N,Winning,N,45,46,1,"[R0C19,R1C15]"
"17 17 1 1 1 1 1 1 1 1 1 1",17,17,12,0,P,Losing,P,44,44,0,"N/A (P-position)"
"18 17 1 1 1 1 1 1 1 1 1 1",18,17,12,1,N,Winning,N,45,45,1,"[R0C17]"
"19 17 1 1 1 1 1 1 1 1 1 1",19,17,12,0,P,Losing,P,46,46,0,"N/A (P-position)"
"20 17 1 1 1 1 1 1 1 1 1 1",20,17,12,1,N,Winning,N,47,47,1,"[R0C19]"
"18 18 1 1 1 1 1 1 1 1 1 1",18,18,12,0,P,Losing,P,46,46,0,"N/A (P-position)"
"19 18 1 1 1 1 1 1 1 1 1 1",19,18,12,5,N,Winning,N,47,47,2,"[R0C18] / [R1C17]"
"20 18 1 1 1 1 1 1 1 1 1 1",20,18,12,6,N,Winning,N,47,48,1,"[R0C19,R1C17]"
"19 19 1 1 1 1 1 1 1 1 1 1",19,19,12,0,P,Losing,P,48,48,0,"N/A (P-position)"
"20 19 1 1 1 1 1 1 1 1 1 1",20,19,12,1,N,Winning,N,49,49,1,"[R0C19]"
"20 20 1 1 1 1 1 1 1 1 1 1",20,20,12,0,P,Losing,P,50,50,0,"N/A (P-position)"
"2 2 1 1 1 1 1 1 1 1 1 1 1",2,2,13,1,N,Winning,N,15,15,1,"[R12C0]"
"3 2 1 1 1 1 1 1 1 1 1 1 1",3,2,13,4,N,Winning,N,15,16,2,"[R1C1] / [R0C2,R12C0]"
"4 2 1 1 1 1 1 1 1 1 1 1 1",4,2,13,6,N,Winning,N,15,17,1,"[R0C3,R1C1]"
"5 2 1 1 1 1 1 1 1 1 1 1 1",5,2,13,5,N,Winning,N,17,18,1,"[R1C1]"
"6 2 1 1 1 1 1 1 1 1 1 1 1",6,2,13,6,N,Winning,N,17,19,1,"[R0C5,R1C1]"
"7 2 1 1 1 1 1 1 1 1 1 1 1",7,2,13,5,N,Winning,N,19,20,1,"[R1C1]"
"8 2 1 1 1 1 1 1 1 1 1 1 1",8,2,13,6,N,Winning,N,19,21,1,"[R0C7,R1C1]"
"9 2 1 1 1 1 1 1 1 1 1 1 1",9,2,13,5,N,Winning,N,21,22,1,"[R1C1]"
"10 2 1 1 1 1 1 1 1 1 1 1 1",10,2,13,6,N,Winning,N,21,23,1,"[R0C9,R1C1]"
"11 2 1 1 1 1 1 1 1 1 1 1 1",11,2,13,5,N,Winning,N,23,24,1,"[R1C1]"
"12 2 1 1 1 1 1 1 1 1 1 1 1",12,2,13,6,N,Winning,N,23,25,1,"[R0C11,R1C1]"
"13 2 1 1 1 1 1 1 1 1 1 1 1",13,2,13,1,N,Winning,N,25,26,1,"[R1C1]"
"14 2 1 1 1 1 1 1 1 1 1 1 1",14,2,13,4,N,Winning,N,25,27,1,"[R0C13,R1C1]"
"15 2 1 1 1 1 1 1 1 1 1 1 1",15,2,13,5,N,Winning,N,27,28,1,"[R1C1]"
"16 2 1 1 1 1 1 1 1 1 1 1 1",16,2,13,4,N,Winning,N,27,29,1,"[R0C15,R1C1]"
"17 2 1 1 1 1 1 1 1 1 1 1 1",17,2,13,5,N,Winning,N,29,30,1,"[R1C1]"
"18 2 1 1 1 1 1 1 1 1 1 1 1",18,2,13,4,N,Winning,N,29,31,1,"[R0C17,R1C1]"
"19 2 1 1 1 1 1 1 1 1 1 1 1",19,2,13,5,N,Winning,N,31,32,1,"[R1C1]"
"20 2 1 1 1 1 1 1 1 1 1 1 1",20,2,13,4,N,Winning,N,31,33,1,"[R0C19,R1C1]"
"3 3 1 1 1 1 1 1 1 1 1 1 1",3,3,13,1,N,Winning,N,17,17,1,"[R12C0]"
"4 3 1 1 1 1 1 1 1 1 1 1 1",4,3,13,2,N,Winning,N,17,18,1,"[R0C3,R12C0]"
"5 3 1 1 1 1 1 1 1 1 1 1 1",5,3,13,1,N,Winning,N,19,19,1,"[R12C0]"
"6 3 1 1 1 1 1 1 1 1 1 1 1",6,3,13,2,N,Winning,N,19,20,1,"[R0C5,R12C0]"
"7 3 1 1 1 1 1 1 1 1 1 1 1",7,3,13,1,N,Winning,N,21,21,1,"[R12C0]"
"8 3 1 1 1 1 1 1 1 1 1 1 1",8,3,13,2,N,Winning,N,21,22,1,"[R0C7,R12C0]"
"9 3 1 1 1 1 1 1 1 1 1 1 1",9,3,13,1,N,Winning,N,23,23,1,"[R12C0]"
"10 3 1 1 1 1 1 1 1 1 1 1 1",10,3,13,2,N,Winning,N,23,24,1,"[R0C9,R12C0]"
"11 3 1 1 1 1 1 1 1 1 1 1 1",11,3,13,1,N,Winning,N,25,25,1,"[R12C0]"
"12 3 1 1 1 1 1 1 1 1 1 1 1",12,3,13,2,N,Winning,N,25,26,1,"[R0C11,R12C0]"
"13 3 1 1 1 1 1 1 1 1 1 1 1",13,3,13,4,N,Winning,N,27,27,1,"[R12C0]"
"14 3 1 1 1 1 1 1 1 1 1 1 1",14,3,13,2,N,Winning,N,27,28,1,"[R0C13,R12C0]"
"15 3 1 1 1 1 1 1 1 1 1 1 1",15,3,13,3,N,Winning,N,29,29,1,"[R12C0]"
"16 3 1 1 1 1 1 1 1 1 1 1 1",16,3,13,2,N,Winning,N,29,30,1,"[R0C15,R12C0]"
"17 3 1 1 1 1 1 1 1 1 1 1 1",17,3,13,3,N,Winning,N,31,31,1,"[R12C0]"
"18 3 1 1 1 1 1 1 1 1 1 1 1",18,3,13,2,N,Winning,N,31,32,1,"[R0C17,R12C0]"
"19 3 1 1 1 1 1 1 1 1 1 1 1",19,3,13,3,N,Winning,N,33,33,1,"[R12C0]"
"20 3 1 1 1 1 1 1 1 1 1 1 1",20,3,13,2,N,Winning,N,33,34,1,"[R0C19,R12C0]"
"4 4 1 1 1 1 1 1 1 1 1 1 1",4,4,13,1,N,Winning,N,19,19,1,"[R12C0]"
"5 4 1 1 1 1 1 1 1 1 1 1 1",5,4,13,4,N,Winning,N,19,20,2,"[R0C4,R12C0] / [R1C3,R12C0]"
"6 4 1 1 1 1 1 1 1 1 1 1 1",6,4,13,6,N,Winning,N,19,21,1,"[R0C5,R1C3,R12C0]"
"7 4 1 1 1 1 1 1 1 1 1 1 1",7,4,13,4,N,Winning,N,21,22,1,"[R1C3,R12C0]"
"8 4 1 1 1 1 1 1 1 1 1 1 1",8,4,13,7,N,Winning,N,21,23,1,"[R0C7,R1C3,R12C0]"
"9 4 1 1 1 1 1 1 1 1 1 1 1",9,4,13,4,N,Winning,N,23,24,1,"[R1C3,R12C0]"
"10 4 1 1 1 1 1 1 1 1 1 1 1",10,4,13,7,N,Winning,N,23,25,1,"[R0C9,R1C3,R12C0]"
"11 4 1 1 1 1 1 1 1 1 1 1 1",11,4,13,4,N,Winning,N,25,26,1,"[R1C3,R12C0]"
"12 4 1 1 1 1 1 1 1 1 1 1 1",12,4,13,3,N,Winning,N,25,27,1,"[R0C11,R1C3,R12C0]"
"13 4 1 1 1 1 1 1 1 1 1 1 1",13,4,13,7,N,Winning,N,27,28,1,"[R1C3,R12C0]"
"14 4 1 1 1 1 1 1 1 1 1 1 1",14,4,13,3,N,Winning,N,27,29,1,"[R0C13,R1C3,R12C0]"
"15 4 1 1 1 1 1 1 1 1 1 1 1",15,4,13,4,N,Winning,N,29,30,1,"[R1C3,R12C0]"
"16 4 1 1 1 1 1 1 1 1 1 1 1",16,4,13,5,N,Winning,N,29,31,1,"[R0C15,R1C3,R12C0]"
"17 4 1 1 1 1 1 1 1 1 1 1 1",17,4,13,4,N,Winning,N,31,32,1,"[R1C3,R12C0]"
"18 4 1 1 1 1 1 1 1 1 1 1 1",18,4,13,5,N,Winning,N,31,33,1,"[R0C17,R1C3,R12C0]"
"19 4 1 1 1 1 1 1 1 1 1 1 1",19,4,13,4,N,Winning,N,33,34,1,"[R1C3,R12C0]"
"20 4 1 1 1 1 1 1 1 1 1 1 1",20,4,13,5,N,Winning,N,33,35,1,"[R0C19,R1C3,R12C0]"
"5 5 1 1 1 1 1 1 1 1 1 1 1",5,5,13,1,N,Winning,N,21,21,1,"[R12C0]"
"6 5 1 1 1 1 1 1 1 1 1 1 1",6,5,13,2,N,Winning,N,21,22,1,"[R0C5,R12C0]"
"7 5 1 1 1 1 1 1 1 1 1 1 1",7,5,13,1,N,Winning,N,23,23,1,"[R12C0]"
"8 5 1 1 1 1 1 1 1 1 1 1 1",8,5,13,2,N,Winning,N,23,24,1,"[R0C7,R12C0]"
"9 5 1 1 1 1 1 1 1 1 1 1 1",9,5,13,1,N,Winning,N,25,25,1,"[R12C0]"
"10 5 1 1 1 1 1 1 1 1 1 1 1",10,5,13,2,N,Winning,N,25,26,1,"[R0C9,R12C0]"
"11 5 1 1 1 1 1 1 1 1 1 1 1",11,5,13,3,N,Winning,N,27,27,1,"[R12C0]"
"12 5 1 1 1 1 1 1 1 1 1 1 1",12,5,13,2,N,Winning,N,27,28,1,"[R0C11,R12C0]"
"13 5 1 1 1 1 1 1 1 1 1 1 1",13,5,13,4,N,Winning,N,29,29,1,"[R12C0]"
"14 5 1 1 1 1 1 1 1 1 1 1 1",14,5,13,2,N,Winning,N,29,30,1,"[R0C13,R12C0]"
"15 5 1 1 1 1 1 1 1 1 1 1 1",15,5,13,1,N,Winning,N,31,31,1,"[R12C0]"
"16 5 1 1 1 1 1 1 1 1 1 1 1",16,5,13,2,N,Winning,N,31,32,1,"[R0C15,R12C0]"
"17 5 1 1 1 1 1 1 1 1 1 1 1",17,5,13,3,N,Winning,N,33,33,1,"[R12C0]"
"18 5 1 1 1 1 1 1 1 1 1 1 1",18,5,13,2,N,Winning,N,33,34,1,"[R0C17,R12C0]"
"19 5 1 1 1 1 1 1 1 1 1 1 1",19,5,13,3,N,Winning,N,35,35,1,"[R12C0]"
"20 5 1 1 1 1 1 1 1 1 1 1 1",20,5,13,2,N,Winning,N,35,36,1,"[R0C19,R12C0]"
"6 6 1 1 1 1 1 1 1 1 1 1 1",6,6,13,1,N,Winning,N,23,23,1,"[R12C0]"
"7 6 1 1 1 1 1 1 1 1 1 1 1",7,6,13,4,N,Winning,N,23,24,2,"[R0C6,R12C0] / [R1C5,R12C0]"
"8 6 1 1 1 1 1 1 1 1 1 1 1",8,6,13,7,N,Winning,N,23,25,1,"[R0C7,R1C5,R12C0]"
"9 6 1 1 1 1 1 1 1 1 1 1 1",9,6,13,4,N,Winning,N,25,26,1,"[R1C5,R12C0]"
"10 6 1 1 1 1 1 1 1 1 1 1 1",10,6,13,3,N,Winning,N,25,27,1,"[R0C9,R1C5,R12C0]"
"11 6 1 1 1 1 1 1 1 1 1 1 1",11,6,13,4,N,Winning,N,27,28,1,"[R1C5,R12C0]"
"12 6 1 1 1 1 1 1 1 1 1 1 1",12,6,13,1,N,Winning,N,27,29,1,"[R0C11,R1C5,R12C0]"
"13 6 1 1 1 1 1 1 1 1 1 1 1",13,6,13,7,N,Winning,N,29,30,1,"[R1C5,R12C0]"
"14 6 1 1 1 1 1 1 1 1 1 1 1",14,6,13,1,N,Winning,N,29,31,1,"[R0C13,R1C5,R12C0]"
"15 6 1 1 1 1 1 1 1 1 1 1 1",15,6,13,4,N,Winning,N,31,32,1,"[R1C5,R12C0]"
"16 6 1 1 1 1 1 1 1 1 1 1 1",16,6,13,3,N,Winning,N,31,33,1,"[R0C15,R1C5,R12C0]"
"17 6 1 1 1 1 1 1 1 1 1 1 1",17,6,13,4,N,Winning,N,33,34,1,"[R1C5,R12C0]"
"18 6 1 1 1 1 1 1 1 1 1 1 1",18,6,13,5,N,Winning,N,33,35,1,"[R0C17,R1C5,R12C0]"
"19 6 1 1 1 1 1 1 1 1 1 1 1",19,6,13,4,N,Winning,N,35,36,1,"[R1C5,R12C0]"
"20 6 1 1 1 1 1 1 1 1 1 1 1",20,6,13,5,N,Winning,N,35,37,1,"[R0C19,R1C5,R12C0]"
"7 7 1 1 1 1 1 1 1 1 1 1 1",7,7,13,1,N,Winning,N,25,25,1,"[R12C0]"
"8 7 1 1 1 1 1 1 1 1 1 1 1",8,7,13,2,N,Winning,N,25,26,1,"[R0C7,R12C0]"
"9 7 1 1 1 1 1 1 1 1 1 1 1",9,7,13,3,N,Winning,N,27,27,1,"[R12C0]"
"10 7 1 1 1 1 1 1 1 1 1 1 1",10,7,13,2,N,Winning,N,27,28,1,"[R0C9,R12C0]"
"11 7 1 1 1 1 1 1 1 1 1 1 1",11,7,13,1,N,Winning,N,29,29,1,"[R12C0]"
"12 7 1 1 1 1 1 1 1 1 1 1 1",12,7,13,2,N,Winning,N,29,30,1,"[R0C11,R12C0]"
"13 7 1 1 1 1 1 1 1 1 1 1 1",13,7,13,5,N,Winning,N,31,31,1,"[R12C0]"
"14 7 1 1 1 1 1 1 1 1 1 1 1",14,7,13,2,N,Winning,N,31,32,1,"[R0C13,R12C0]"
"15 7 1 1 1 1 1 1 1 1 1 1 1",15,7,13,3,N,Winning,N,33,33,1,"[R12C0]"
"16 7 1 1 1 1 1 1 1 1 1 1 1",16,7,13,2,N,Winning,N,33,34,1,"[R0C15,R12C0]"
"17 7 1 1 1 1 1 1 1 1 1 1 1",17,7,13,1,N,Winning,N,35,35,1,"[R12C0]"
"18 7 1 1 1 1 1 1 1 1 1 1 1",18,7,13,2,N,Winning,N,35,36,1,"[R0C17,R12C0]"
"19 7 1 1 1 1 1 1 1 1 1 1 1",19,7,13,3,N,Winning,N,37,37,1,"[R12C0]"
"20 7 1 1 1 1 1 1 1 1 1 1 1",20,7,13,2,N,Winning,N,37,38,1,"[R0C19,R12C0]"
"8 8 1 1 1 1 1 1 1 1 1 1 1",8,8,13,3,N,Winning,N,27,27,1,"[R12C0]"
"9 8 1 1 1 1 1 1 1 1 1 1 1",9,8,13,4,N,Winning,N,27,28,2,"[R0C8,R12C0] / [R1C7,R12C0]"
"10 8 1 1 1 1 1 1 1 1 1 1 1",10,8,13,1,N,Winning,N,27,29,1,"[R0C9,R1C7,R12C0]"
"11 8 1 1 1 1 1 1 1 1 1 1 1",11,8,13,5,N,Winning,N,29,30,1,"[R1C7,R12C0]"
"12 8 1 1 1 1 1 1 1 1 1 1 1",12,8,13,6,N,Winning,N,29,31,1,"[R0C11,R1C7,R12C0]"
