Partition,c,λ2,k,j,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"19 17 2 2 2 2 1 1",19,17,4,2,2,N,Winning,N,45,46,1,"[R0C18,R1C16]"
"20 17 2 2 2 2 1 1",20,17,4,2,9,N,Winning,N,47,47,1,"[R1C16]"
"18 18 2 2 2 2 1 1",18,18,4,2,0,P,Losing,P,46,46,0,"N/A (P-position)"
"19 18 2 2 2 2 1 1",19,18,4,2,4,N,Winning,N,47,47,1,"[R0C18]"
"20 18 2 2 2 2 1 1",20,18,4,2,0,P,Losing,P,48,48,0,"N/A (P-position)"
"19 19 2 2 2 2 1 1",19,19,4,2,0,P,Losing,P,48,48,0,"N/A (P-position)"
"20 19 2 2 2 2 1 1",20,19,4,2,1,N,Winning,N,49,49,2,"[R0C19] / [R1C18]"
"20 20 2 2 2 2 1 1",20,20,4,2,0,P,Losing,P,50,50,0,"N/A (P-position)"
"2 2 2 2 2 2 2 1 1",2,2,5,2,3,N,Winning,N,15,16,1,"[R6C1,R8C0]"
"3 2 2 2 2 2 2 1 1",3,2,5,2,6,N,Winning,N,15,17,1,"[R0C2,R6C1,R8C0]"
"4 2 2 2 2 2 2 1 1",4,2,5,2,0,P,Losing,P,18,18,0,"N/A (P-position)"
"5 2 2 2 2 2 2 1 1",5,2,5,2,6,N,Winning,N,19,19,1,"[R0C4]"
"6 2 2 2 2 2 2 1 1",6,2,5,2,0,P,Losing,P,20,20,0,"N/A (P-position)"
"7 2 2 2 2 2 2 1 1",7,2,5,2,5,N,Winning,N,21,21,1,"[R0C6]"
"8 2 2 2 2 2 2 1 1",8,2,5,2,0,P,Losing,P,22,22,0,"N/A (P-position)"
"9 2 2 2 2 2 2 1 1",9,2,5,2,2,N,Winning,N,23,23,1,"[R0C8]"
"10 2 2 2 2 2 2 1 1",10,2,5,2,0,P,Losing,P,24,24,0,"N/A (P-position)"
"11 2 2 2 2 2 2 1 1",11,2,5,2,1,N,Winning,N,25,25,1,"[R0C10]"
"12 2 2 2 2 2 2 1 1",12,2,5,2,0,P,Losing,P,26,26,0,"N/A (P-position)"
"13 2 2 2 2 2 2 1 1",13,2,5,2,3,N,Winning,N,27,27,1,"[R0C12]"
"14 2 2 2 2 2 2 1 1",14,2,5,2,0,P,Losing,P,28,28,0,"N/A (P-position)"
"15 2 2 2 2 2 2 1 1",15,2,5,2,1,N,Winning,N,29,29,1,"[R0C14]"
"16 2 2 2 2 2 2 1 1",16,2,5,2,0,P,Losing,P,30,30,0,"N/A (P-position)"
"17 2 2 2 2 2 2 1 1",17,2,5,2,1,N,Winning,N,31,31,1,"[R0C16]"
"18 2 2 2 2 2 2 1 1",18,2,5,2,0,P,Losing,P,32,32,0,"N/A (P-position)"
"19 2 2 2 2 2 2 1 1",19,2,5,2,1,N,Winning,N,33,33,1,"[R0C18]"
"20 2 2 2 2 2 2 1 1",20,2,5,2,0,P,Losing,P,34,34,0,"N/A (P-position)"
"3 3 2 2 2 2 2 1 1",3,3,5,2,2,N,Winning,N,17,18,1,"[R6C1,R8C0]"
"4 3 2 2 2 2 2 1 1",4,3,5,2,7,N,Winning,N,17,19,2,"[R1C2] / [R0C3,R6C1,R8C0]"
"5 3 2 2 2 2 2 1 1",5,3,5,2,8,N,Winning,N,19,20,1,"[R0C4,R1C2]"
"6 3 2 2 2 2 2 1 1",6,3,5,2,3,N,Winning,N,21,21,1,"[R1C2]"
"7 3 2 2 2 2 2 1 1",7,3,5,2,9,N,Winning,N,21,22,1,"[R0C6,R1C2]"
"8 3 2 2 2 2 2 1 1",8,3,5,2,2,N,Winning,N,23,23,1,"[R1C2]"
"9 3 2 2 2 2 2 1 1",9,3,5,2,7,N,Winning,N,23,24,1,"[R0C8,R1C2]"
"10 3 2 2 2 2 2 1 1",10,3,5,2,1,N,Winning,N,25,25,1,"[R1C2]"
"11 3 2 2 2 2 2 1 1",11,3,5,2,11,N,Winning,N,25,26,1,"[R0C10,R1C2]"
"12 3 2 2 2 2 2 1 1",12,3,5,2,2,N,Winning,N,27,27,1,"[R1C2]"
"13 3 2 2 2 2 2 1 1",13,3,5,2,11,N,Winning,N,27,28,1,"[R0C12,R1C2]"
"14 3 2 2 2 2 2 1 1",14,3,5,2,1,N,Winning,N,29,29,1,"[R1C2]"
"15 3 2 2 2 2 2 1 1",15,3,5,2,10,N,Winning,N,29,30,1,"[R0C14,R1C2]"
"16 3 2 2 2 2 2 1 1",16,3,5,2,11,N,Winning,N,31,31,1,"[R1C2]"
"17 3 2 2 2 2 2 1 1",17,3,5,2,10,N,Winning,N,31,32,1,"[R0C16,R1C2]"
"18 3 2 2 2 2 2 1 1",18,3,5,2,11,N,Winning,N,33,33,1,"[R1C2]"
"19 3 2 2 2 2 2 1 1",19,3,5,2,10,N,Winning,N,33,34,1,"[R0C18,R1C2]"
"20 3 2 2 2 2 2 1 1",20,3,5,2,11,N,Winning,N,35,35,1,"[R1C2]"
"4 4 2 2 2 2 2 1 1",4,4,5,2,3,N,Winning,N,19,20,1,"[R6C1,R8C0]"
"5 4 2 2 2 2 2 1 1",5,4,5,2,4,N,Winning,N,19,21,1,"[R0C4,R6C1,R8C0]"
"6 4 2 2 2 2 2 1 1",6,4,5,2,5,N,Winning,N,21,22,1,"[R6C1,R8C0]"
"7 4 2 2 2 2 2 1 1",7,4,5,2,2,N,Winning,N,21,23,1,"[R0C6,R6C1,R8C0]"
"8 4 2 2 2 2 2 1 1",8,4,5,2,7,N,Winning,N,23,24,1,"[R6C1,R8C0]"
"9 4 2 2 2 2 2 1 1",9,4,5,2,1,N,Winning,N,23,25,1,"[R0C8,R6C1,R8C0]"
"10 4 2 2 2 2 2 1 1",10,4,5,2,2,N,Winning,N,25,26,1,"[R6C1,R8C0]"
"11 4 2 2 2 2 2 1 1",11,4,5,2,3,N,Winning,N,25,27,1,"[R0C10,R6C1,R8C0]"
"12 4 2 2 2 2 2 1 1",12,4,5,2,1,N,Winning,N,27,28,1,"[R6C1,R8C0]"
"13 4 2 2 2 2 2 1 1",13,4,5,2,7,N,Winning,N,27,29,1,"[R0C12,R6C1,R8C0]"
"14 4 2 2 2 2 2 1 1",14,4,5,2,2,N,Winning,N,29,30,1,"[R6C1,R8C0]"
"15 4 2 2 2 2 2 1 1",15,4,5,2,3,N,Winning,N,29,31,1,"[R0C14,R6C1,R8C0]"
