Partition,c,λ2,k,j,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"20 20 2 2 2 2 2 2 2 1 1 1 1",20,20,7,4,3,N,Winning,N,57,58,1,"[R8C1,R12C0]"
"2 2 2 2 2 2 2 2 2 2 1 1 1 1",2,2,8,4,0,P,Losing,P,24,24,0,"N/A (P-position)"
"3 2 2 2 2 2 2 2 2 2 1 1 1 1",3,2,8,4,5,N,Winning,N,25,25,1,"[R0C2]"
"4 2 2 2 2 2 2 2 2 2 1 1 1 1",4,2,8,4,3,N,Winning,N,25,26,1,"[R9C1,R13C0]"
"5 2 2 2 2 2 2 2 2 2 1 1 1 1",5,2,8,4,4,N,Winning,N,25,27,1,"[R0C4,R9C1,R13C0]"
"6 2 2 2 2 2 2 2 2 2 1 1 1 1",6,2,8,4,2,N,Winning,N,27,28,1,"[R9C1,R13C0]"
"7 2 2 2 2 2 2 2 2 2 1 1 1 1",7,2,8,4,3,N,Winning,N,27,29,1,"[R0C6,R9C1,R13C0]"
"8 2 2 2 2 2 2 2 2 2 1 1 1 1",8,2,8,4,4,N,Winning,N,29,30,1,"[R9C1,R13C0]"
"9 2 2 2 2 2 2 2 2 2 1 1 1 1",9,2,8,4,1,N,Winning,N,29,31,1,"[R0C8,R9C1,R13C0]"
"10 2 2 2 2 2 2 2 2 2 1 1 1 1",10,2,8,4,3,N,Winning,N,31,32,1,"[R9C1,R13C0]"
"11 2 2 2 2 2 2 2 2 2 1 1 1 1",11,2,8,4,2,N,Winning,N,31,33,1,"[R0C10,R9C1,R13C0]"
"12 2 2 2 2 2 2 2 2 2 1 1 1 1",12,2,8,4,1,N,Winning,N,33,34,1,"[R9C1,R13C0]"
"13 2 2 2 2 2 2 2 2 2 1 1 1 1",13,2,8,4,4,N,Winning,N,33,35,1,"[R0C12,R9C1,R13C0]"
"14 2 2 2 2 2 2 2 2 2 1 1 1 1",14,2,8,4,1,N,Winning,N,35,36,1,"[R9C1,R13C0]"
"15 2 2 2 2 2 2 2 2 2 1 1 1 1",15,2,8,4,5,N,Winning,N,35,37,1,"[R0C14,R9C1,R13C0]"
"16 2 2 2 2 2 2 2 2 2 1 1 1 1",16,2,8,4,2,N,Winning,N,37,38,1,"[R9C1,R13C0]"
"17 2 2 2 2 2 2 2 2 2 1 1 1 1",17,2,8,4,3,N,Winning,N,37,39,1,"[R0C16,R9C1,R13C0]"
"18 2 2 2 2 2 2 2 2 2 1 1 1 1",18,2,8,4,4,N,Winning,N,39,40,1,"[R9C1,R13C0]"
"19 2 2 2 2 2 2 2 2 2 1 1 1 1",19,2,8,4,1,N,Winning,N,39,41,1,"[R0C18,R9C1,R13C0]"
"20 2 2 2 2 2 2 2 2 2 1 1 1 1",20,2,8,4,5,N,Winning,N,41,42,1,"[R9C1,R13C0]"
"3 3 2 2 2 2 2 2 2 2 1 1 1 1",3,3,8,4,0,P,Losing,P,26,26,0,"N/A (P-position)"
"4 3 2 2 2 2 2 2 2 2 1 1 1 1",4,3,8,4,11,N,Winning,N,25,27,2,"[R0C3] / [R1C2,R9C1,R13C0]"
"5 3 2 2 2 2 2 2 2 2 1 1 1 1",5,3,8,4,14,N,Winning,N,25,28,1,"[R0C4,R1C2,R9C1,R13C0]"
"6 3 2 2 2 2 2 2 2 2 1 1 1 1",6,3,8,4,3,N,Winning,N,27,29,1,"[R1C2,R9C1,R13C0]"
"7 3 2 2 2 2 2 2 2 2 1 1 1 1",7,3,8,4,4,N,Winning,N,27,30,1,"[R0C6,R1C2,R9C1,R13C0]"
"8 3 2 2 2 2 2 2 2 2 1 1 1 1",8,3,8,4,5,N,Winning,N,29,31,1,"[R1C2,R9C1,R13C0]"
"9 3 2 2 2 2 2 2 2 2 1 1 1 1",9,3,8,4,8,N,Winning,N,29,32,1,"[R0C8,R1C2,R9C1,R13C0]"
"10 3 2 2 2 2 2 2 2 2 1 1 1 1",10,3,8,4,9,N,Winning,N,31,33,1,"[R1C2,R9C1,R13C0]"
"11 3 2 2 2 2 2 2 2 2 1 1 1 1",11,3,8,4,4,N,Winning,N,31,34,1,"[R0C10,R1C2,R9C1,R13C0]"
"12 3 2 2 2 2 2 2 2 2 1 1 1 1",12,3,8,4,5,N,Winning,N,33,35,1,"[R1C2,R9C1,R13C0]"
"13 3 2 2 2 2 2 2 2 2 1 1 1 1",13,3,8,4,8,N,Winning,N,33,36,1,"[R0C12,R1C2,R9C1,R13C0]"
"14 3 2 2 2 2 2 2 2 2 1 1 1 1",14,3,8,4,7,N,Winning,N,35,37,1,"[R1C2,R9C1,R13C0]"
"15 3 2 2 2 2 2 2 2 2 1 1 1 1",15,3,8,4,10,N,Winning,N,35,38,1,"[R0C14,R1C2,R9C1,R13C0]"
"16 3 2 2 2 2 2 2 2 2 1 1 1 1",16,3,8,4,7,N,Winning,N,37,39,1,"[R1C2,R9C1,R13C0]"
"17 3 2 2 2 2 2 2 2 2 1 1 1 1",17,3,8,4,4,N,Winning,N,37,40,1,"[R0C16,R1C2,R9C1,R13C0]"
"18 3 2 2 2 2 2 2 2 2 1 1 1 1",18,3,8,4,9,N,Winning,N,39,41,1,"[R1C2,R9C1,R13C0]"
"19 3 2 2 2 2 2 2 2 2 1 1 1 1",19,3,8,4,5,N,Winning,N,39,42,1,"[R0C18,R1C2,R9C1,R13C0]"
"20 3 2 2 2 2 2 2 2 2 1 1 1 1",20,3,8,4,7,N,Winning,N,41,43,1,"[R1C2,R9C1,R13C0]"
"4 4 2 2 2 2 2 2 2 2 1 1 1 1",4,4,8,4,0,P,Losing,P,28,28,0,"N/A (P-position)"
"5 4 2 2 2 2 2 2 2 2 1 1 1 1",5,4,8,4,6,N,Winning,N,29,29,1,"[R0C4]"
"6 4 2 2 2 2 2 2 2 2 1 1 1 1",6,4,8,4,0,P,Losing,P,30,30,0,"N/A (P-position)"
"7 4 2 2 2 2 2 2 2 2 1 1 1 1",7,4,8,4,5,N,Winning,N,31,31,1,"[R0C6]"
"8 4 2 2 2 2 2 2 2 2 1 1 1 1",8,4,8,4,0,P,Losing,P,32,32,0,"N/A (P-position)"
"9 4 2 2 2 2 2 2 2 2 1 1 1 1",9,4,8,4,11,N,Winning,N,33,33,1,"[R0C8]"
"10 4 2 2 2 2 2 2 2 2 1 1 1 1",10,4,8,4,0,P,Losing,P,34,34,0,"N/A (P-position)"
"11 4 2 2 2 2 2 2 2 2 1 1 1 1",11,4,8,4,11,N,Winning,N,35,35,1,"[R0C10]"
"12 4 2 2 2 2 2 2 2 2 1 1 1 1",12,4,8,4,0,P,Losing,P,36,36,0,"N/A (P-position)"
"13 4 2 2 2 2 2 2 2 2 1 1 1 1",13,4,8,4,7,N,Winning,N,37,37,1,"[R0C12]"
"14 4 2 2 2 2 2 2 2 2 1 1 1 1",14,4,8,4,0,P,Losing,P,38,38,0,"N/A (P-position)"
"15 4 2 2 2 2 2 2 2 2 1 1 1 1",15,4,8,4,11,N,Winning,N,39,39,1,"[R0C14]"
"16 4 2 2 2 2 2 2 2 2 1 1 1 1",16,4,8,4,0,P,Losing,P,40,40,0,"N/A (P-position)"
"17 4 2 2 2 2 2 2 2 2 1 1 1 1",17,4,8,4,9,N,Winning,N,41,41,1,"[R0C16]"
"18 4 2 2 2 2 2 2 2 2 1 1 1 1",18,4,8,4,0,P,Losing,P,42,42,0,"N/A (P-position)"
"19 4 2 2 2 2 2 2 2 2 1 1 1 1",19,4,8,4,12,N,Winning,N,43,43,1,"[R0C18]"
"20 4 2 2 2 2 2 2 2 2 1 1 1 1",20,4,8,4,0,P,Losing,P,44,44,0,"N/A (P-position)"
"5 5 2 2 2 2 2 2 2 2 1 1 1 1",5,5,8,4,0,P,Losing,P,30,30,0,"N/A (P-position)"
"6 5 2 2 2 2 2 2 2 2 1 1 1 1",6,5,8,4,1,N,Winning,N,31,31,2,"[R0C5] / [R1C4]"
"7 5 2 2 2 2 2 2 2 2 1 1 1 1",7,5,8,4,6,N,Winning,N,31,32,1,"[R0C6,R1C4]"
"8 5 2 2 2 2 2 2 2 2 1 1 1 1",8,5,8,4,3,N,Winning,N,33,33,1,"[R1C4]"
"9 5 2 2 2 2 2 2 2 2 1 1 1 1",9,5,8,4,9,N,Winning,N,33,34,1,"[R0C8,R1C4]"
"10 5 2 2 2 2 2 2 2 2 1 1 1 1",10,5,8,4,10,N,Winning,N,35,35,1,"[R1C4]"
"11 5 2 2 2 2 2 2 2 2 1 1 1 1",11,5,8,4,6,N,Winning,N,35,36,1,"[R0C10,R1C4]"
"12 5 2 2 2 2 2 2 2 2 1 1 1 1",12,5,8,4,8,N,Winning,N,37,37,1,"[R1C4]"
"13 5 2 2 2 2 2 2 2 2 1 1 1 1",13,5,8,4,6,N,Winning,N,37,38,1,"[R0C12,R1C4]"
"14 5 2 2 2 2 2 2 2 2 1 1 1 1",14,5,8,4,9,N,Winning,N,39,39,1,"[R1C4]"
"15 5 2 2 2 2 2 2 2 2 1 1 1 1",15,5,8,4,10,N,Winning,N,39,40,1,"[R0C14,R1C4]"
"16 5 2 2 2 2 2 2 2 2 1 1 1 1",16,5,8,4,9,N,Winning,N,41,41,1,"[R1C4]"
"17 5 2 2 2 2 2 2 2 2 1 1 1 1",17,5,8,4,10,N,Winning,N,41,42,1,"[R0C16,R1C4]"
"18 5 2 2 2 2 2 2 2 2 1 1 1 1",18,5,8,4,8,N,Winning,N,43,43,1,"[R1C4]"
"19 5 2 2 2 2 2 2 2 2 1 1 1 1",19,5,8,4,11,N,Winning,N,43,44,1,"[R0C18,R1C4]"
"20 5 2 2 2 2 2 2 2 2 1 1 1 1",20,5,8,4,1,N,Winning,N,45,45,1,"[R1C4]"
"6 6 2 2 2 2 2 2 2 2 1 1 1 1",6,6,8,4,0,P,Losing,P,32,32,0,"N/A (P-position)"
"7 6 2 2 2 2 2 2 2 2 1 1 1 1",7,6,8,4,7,N,Winning,N,33,33,1,"[R0C6]"
"8 6 2 2 2 2 2 2 2 2 1 1 1 1",8,6,8,4,0,P,Losing,P,34,34,0,"N/A (P-position)"
"9 6 2 2 2 2 2 2 2 2 1 1 1 1",9,6,8,4,4,N,Winning,N,35,35,1,"[R0C8]"
"10 6 2 2 2 2 2 2 2 2 1 1 1 1",10,6,8,4,0,P,Losing,P,36,36,0,"N/A (P-position)"
"11 6 2 2 2 2 2 2 2 2 1 1 1 1",11,6,8,4,1,N,Winning,N,37,37,1,"[R0C10]"
"12 6 2 2 2 2 2 2 2 2 1 1 1 1",12,6,8,4,0,P,Losing,P,38,38,0,"N/A (P-position)"
"13 6 2 2 2 2 2 2 2 2 1 1 1 1",13,6,8,4,9,N,Winning,N,39,39,1,"[R0C12]"
"14 6 2 2 2 2 2 2 2 2 1 1 1 1",14,6,8,4,0,P,Losing,P,40,40,0,"N/A (P-position)"
"15 6 2 2 2 2 2 2 2 2 1 1 1 1",15,6,8,4,1,N,Winning,N,41,41,1,"[R0C14]"
"16 6 2 2 2 2 2 2 2 2 1 1 1 1",16,6,8,4,0,P,Losing,P,42,42,0,"N/A (P-position)"
"17 6 2 2 2 2 2 2 2 2 1 1 1 1",17,6,8,4,2,N,Winning,N,43,43,1,"[R0C16]"
"18 6 2 2 2 2 2 2 2 2 1 1 1 1",18,6,8,4,0,P,Losing,P,44,44,0,"N/A (P-position)"
"19 6 2 2 2 2 2 2 2 2 1 1 1 1",19,6,8,4,1,N,Winning,N,45,45,1,"[R0C18]"
"20 6 2 2 2 2 2 2 2 2 1 1 1 1",20,6,8,4,0,P,Losing,P,46,46,0,"N/A (P-position)"
"7 7 2 2 2 2 2 2 2 2 1 1 1 1",7,7,8,4,0,P,Losing,P,34,34,0,"N/A (P-position)"
"8 7 2 2 2 2 2 2 2 2 1 1 1 1",8,7,8,4,4,N,Winning,N,35,35,2,"[R0C7] / [R1C6]"
"9 7 2 2 2 2 2 2 2 2 1 1 1 1",9,7,8,4,5,N,Winning,N,35,36,1,"[R0C8,R1C6]"
"10 7 2 2 2 2 2 2 2 2 1 1 1 1",10,7,8,4,1,N,Winning,N,37,37,1,"[R1C6]"
"11 7 2 2 2 2 2 2 2 2 1 1 1 1",11,7,8,4,8,N,Winning,N,37,38,1,"[R0C10,R1C6]"
"12 7 2 2 2 2 2 2 2 2 1 1 1 1",12,7,8,4,3,N,Winning,N,39,39,1,"[R1C6]"
"13 7 2 2 2 2 2 2 2 2 1 1 1 1",13,7,8,4,11,N,Winning,N,39,40,1,"[R0C12,R1C6]"
"14 7 2 2 2 2 2 2 2 2 1 1 1 1",14,7,8,4,1,N,Winning,N,41,41,1,"[R1C6]"
"15 7 2 2 2 2 2 2 2 2 1 1 1 1",15,7,8,4,4,N,Winning,N,41,42,1,"[R0C14,R1C6]"
"16 7 2 2 2 2 2 2 2 2 1 1 1 1",16,7,8,4,2,N,Winning,N,43,43,1,"[R1C6]"
"17 7 2 2 2 2 2 2 2 2 1 1 1 1",17,7,8,4,5,N,Winning,N,43,44,1,"[R0C16,R1C6]"
"18 7 2 2 2 2 2 2 2 2 1 1 1 1",18,7,8,4,4,N,Winning,N,45,45,1,"[R1C6]"
"19 7 2 2 2 2 2 2 2 2 1 1 1 1",19,7,8,4,6,N,Winning,N,45,46,1,"[R0C18,R1C6]"
"20 7 2 2 2 2 2 2 2 2 1 1 1 1",20,7,8,4,3,N,Winning,N,47,47,1,"[R1C6]"
"8 8 2 2 2 2 2 2 2 2 1 1 1 1",8,8,8,4,0,P,Losing,P,36,36,0,"N/A (P-position)"
"9 8 2 2 2 2 2 2 2 2 1 1 1 1",9,8,8,4,1,N,Winning,N,37,37,1,"[R0C8]"
"10 8 2 2 2 2 2 2 2 2 1 1 1 1",10,8,8,4,0,P,Losing,P,38,38,0,"N/A (P-position)"
"11 8 2 2 2 2 2 2 2 2 1 1 1 1",11,8,8,4,3,N,Winning,N,39,39,1,"[R0C10]"
"12 8 2 2 2 2 2 2 2 2 1 1 1 1",12,8,8,4,0,P,Losing,P,40,40,0,"N/A (P-position)"
"13 8 2 2 2 2 2 2 2 2 1 1 1 1",13,8,8,4,1,N,Winning,N,41,41,1,"[R0C12]"
"14 8 2 2 2 2 2 2 2 2 1 1 1 1",14,8,8,4,0,P,Losing,P,42,42,0,"N/A (P-position)"
"15 8 2 2 2 2 2 2 2 2 1 1 1 1",15,8,8,4,7,N,Winning,N,43,43,1,"[R0C14]"
"16 8 2 2 2 2 2 2 2 2 1 1 1 1",16,8,8,4,0,P,Losing,P,44,44,0,"N/A (P-position)"
"17 8 2 2 2 2 2 2 2 2 1 1 1 1",17,8,8,4,6,N,Winning,N,45,45,1,"[R0C16]"
"18 8 2 2 2 2 2 2 2 2 1 1 1 1",18,8,8,4,0,P,Losing,P,46,46,0,"N/A (P-position)"
"19 8 2 2 2 2 2 2 2 2 1 1 1 1",19,8,8,4,2,N,Winning,N,47,47,1,"[R0C18]"
"20 8 2 2 2 2 2 2 2 2 1 1 1 1",20,8,8,4,0,P,Losing,P,48,48,0,"N/A (P-position)"
"9 9 2 2 2 2 2 2 2 2 1 1 1 1",9,9,8,4,0,P,Losing,P,38,38,0,"N/A (P-position)"
"10 9 2 2 2 2 2 2 2 2 1 1 1 1",10,9,8,4,4,N,Winning,N,39,39,2,"[R0C9] / [R1C8]"
"11 9 2 2 2 2 2 2 2 2 1 1 1 1",11,9,8,4,9,N,Winning,N,39,40,1,"[R0C10,R1C8]"
"12 9 2 2 2 2 2 2 2 2 1 1 1 1",12,9,8,4,4,N,Winning,N,41,41,1,"[R1C8]"
"13 9 2 2 2 2 2 2 2 2 1 1 1 1",13,9,8,4,8,N,Winning,N,41,42,1,"[R0C12,R1C8]"
"14 9 2 2 2 2 2 2 2 2 1 1 1 1",14,9,8,4,2,N,Winning,N,43,43,1,"[R1C8]"
"15 9 2 2 2 2 2 2 2 2 1 1 1 1",15,9,8,4,5,N,Winning,N,43,44,1,"[R0C14,R1C8]"
"16 9 2 2 2 2 2 2 2 2 1 1 1 1",16,9,8,4,4,N,Winning,N,45,45,1,"[R1C8]"
"17 9 2 2 2 2 2 2 2 2 1 1 1 1",17,9,8,4,1,N,Winning,N,45,46,1,"[R0C16,R1C8]"
"18 9 2 2 2 2 2 2 2 2 1 1 1 1",18,9,8,4,8,N,Winning,N,47,47,1,"[R1C8]"
"19 9 2 2 2 2 2 2 2 2 1 1 1 1",19,9,8,4,3,N,Winning,N,47,48,1,"[R0C18,R1C8]"
"20 9 2 2 2 2 2 2 2 2 1 1 1 1",20,9,8,4,4,N,Winning,N,49,49,1,"[R1C8]"
"10 10 2 2 2 2 2 2 2 2 1 1 1 1",10,10,8,4,0,P,Losing,P,40,40,0,"N/A (P-position)"
"11 10 2 2 2 2 2 2 2 2 1 1 1 1",11,10,8,4,1,N,Winning,N,41,41,1,"[R0C10]"
"12 10 2 2 2 2 2 2 2 2 1 1 1 1",12,10,8,4,0,P,Losing,P,42,42,0,"N/A (P-position)"
"13 10 2 2 2 2 2 2 2 2 1 1 1 1",13,10,8,4,1,N,Winning,N,43,43,1,"[R0C12]"
"14 10 2 2 2 2 2 2 2 2 1 1 1 1",14,10,8,4,0,P,Losing,P,44,44,0,"N/A (P-position)"
"15 10 2 2 2 2 2 2 2 2 1 1 1 1",15,10,8,4,4,N,Winning,N,45,45,1,"[R0C14]"
"16 10 2 2 2 2 2 2 2 2 1 1 1 1",16,10,8,4,0,P,Losing,P,46,46,0,"N/A (P-position)"
"17 10 2 2 2 2 2 2 2 2 1 1 1 1",17,10,8,4,8,N,Winning,N,47,47,1,"[R0C16]"
"18 10 2 2 2 2 2 2 2 2 1 1 1 1",18,10,8,4,0,P,Losing,P,48,48,0,"N/A (P-position)"
"19 10 2 2 2 2 2 2 2 2 1 1 1 1",19,10,8,4,2,N,Winning,N,49,49,1,"[R0C18]"
"20 10 2 2 2 2 2 2 2 2 1 1 1 1",20,10,8,4,0,P,Losing,P,50,50,0,"N/A (P-position)"
"11 11 2 2 2 2 2 2 2 2 1 1 1 1",11,11,8,4,0,P,Losing,P,42,42,0,"N/A (P-position)"
"12 11 2 2 2 2 2 2 2 2 1 1 1 1",12,11,8,4,2,N,Winning,N,43,43,2,"[R0C11] / [R1C10]"
"13 11 2 2 2 2 2 2 2 2 1 1 1 1",13,11,8,4,9,N,Winning,N,43,44,1,"[R0C12,R1C10]"
"14 11 2 2 2 2 2 2 2 2 1 1 1 1",14,11,8,4,4,N,Winning,N,45,45,1,"[R1C10]"
"15 11 2 2 2 2 2 2 2 2 1 1 1 1",15,11,8,4,7,N,Winning,N,45,46,1,"[R0C14,R1C10]"
"16 11 2 2 2 2 2 2 2 2 1 1 1 1",16,11,8,4,2,N,Winning,N,47,47,1,"[R1C10]"
"17 11 2 2 2 2 2 2 2 2 1 1 1 1",17,11,8,4,9,N,Winning,N,47,48,1,"[R0C16,R1C10]"
"18 11 2 2 2 2 2 2 2 2 1 1 1 1",18,11,8,4,2,N,Winning,N,49,49,1,"[R1C10]"
"19 11 2 2 2 2 2 2 2 2 1 1 1 1",19,11,8,4,6,N,Winning,N,49,50,1,"[R0C18,R1C10]"
"20 11 2 2 2 2 2 2 2 2 1 1 1 1",20,11,8,4,10,N,Winning,N,51,51,1,"[R1C10]"
"12 12 2 2 2 2 2 2 2 2 1 1 1 1",12,12,8,4,0,P,Losing,P,44,44,0,"N/A (P-position)"
"13 12 2 2 2 2 2 2 2 2 1 1 1 1",13,12,8,4,1,N,Winning,N,45,45,1,"[R0C12]"
"14 12 2 2 2 2 2 2 2 2 1 1 1 1",14,12,8,4,0,P,Losing,P,46,46,0,"N/A (P-position)"
"15 12 2 2 2 2 2 2 2 2 1 1 1 1",15,12,8,4,5,N,Winning,N,47,47,1,"[R0C14]"
"16 12 2 2 2 2 2 2 2 2 1 1 1 1",16,12,8,4,0,P,Losing,P,48,48,0,"N/A (P-position)"
"17 12 2 2 2 2 2 2 2 2 1 1 1 1",17,12,8,4,3,N,Winning,N,49,49,1,"[R0C16]"
"18 12 2 2 2 2 2 2 2 2 1 1 1 1",18,12,8,4,0,P,Losing,P,50,50,0,"N/A (P-position)"
"19 12 2 2 2 2 2 2 2 2 1 1 1 1",19,12,8,4,5,N,Winning,N,51,51,1,"[R0C18]"
"20 12 2 2 2 2 2 2 2 2 1 1 1 1",20,12,8,4,0,P,Losing,P,52,52,0,"N/A (P-position)"
"13 13 2 2 2 2 2 2 2 2 1 1 1 1",13,13,8,4,0,P,Losing,P,46,46,0,"N/A (P-position)"
"14 13 2 2 2 2 2 2 2 2 1 1 1 1",14,13,8,4,5,N,Winning,N,47,47,2,"[R0C13] / [R1C12]"
"15 13 2 2 2 2 2 2 2 2 1 1 1 1",15,13,8,4,6,N,Winning,N,47,48,1,"[R0C14,R1C12]"
"16 13 2 2 2 2 2 2 2 2 1 1 1 1",16,13,8,4,3,N,Winning,N,49,49,1,"[R1C12]"
"17 13 2 2 2 2 2 2 2 2 1 1 1 1",17,13,8,4,1,N,Winning,N,49,50,1,"[R0C16,R1C12]"
"18 13 2 2 2 2 2 2 2 2 1 1 1 1",18,13,8,4,2,N,Winning,N,51,51,1,"[R1C12]"
"19 13 2 2 2 2 2 2 2 2 1 1 1 1",19,13,8,4,8,N,Winning,N,51,52,1,"[R0C18,R1C12]"
"20 13 2 2 2 2 2 2 2 2 1 1 1 1",20,13,8,4,1,N,Winning,N,53,53,1,"[R1C12]"
"14 14 2 2 2 2 2 2 2 2 1 1 1 1",14,14,8,4,0,P,Losing,P,48,48,0,"N/A (P-position)"
"15 14 2 2 2 2 2 2 2 2 1 1 1 1",15,14,8,4,1,N,Winning,N,49,49,1,"[R0C14]"
"16 14 2 2 2 2 2 2 2 2 1 1 1 1",16,14,8,4,0,P,Losing,P,50,50,0,"N/A (P-position)"
"17 14 2 2 2 2 2 2 2 2 1 1 1 1",17,14,8,4,5,N,Winning,N,51,51,1,"[R0C16]"
"18 14 2 2 2 2 2 2 2 2 1 1 1 1",18,14,8,4,0,P,Losing,P,52,52,0,"N/A (P-position)"
"19 14 2 2 2 2 2 2 2 2 1 1 1 1",19,14,8,4,1,N,Winning,N,53,53,1,"[R0C18]"
"20 14 2 2 2 2 2 2 2 2 1 1 1 1",20,14,8,4,0,P,Losing,P,54,54,0,"N/A (P-position)"
"15 15 2 2 2 2 2 2 2 2 1 1 1 1",15,15,8,4,0,P,Losing,P,50,50,0,"N/A (P-position)"
"16 15 2 2 2 2 2 2 2 2 1 1 1 1",16,15,8,4,2,N,Winning,N,51,51,2,"[R0C15] / [R1C14]"
"17 15 2 2 2 2 2 2 2 2 1 1 1 1",17,15,8,4,1,N,Winning,N,51,52,1,"[R0C16,R1C14]"
"18 15 2 2 2 2 2 2 2 2 1 1 1 1",18,15,8,4,3,N,Winning,N,53,53,1,"[R1C14]"
"19 15 2 2 2 2 2 2 2 2 1 1 1 1",19,15,8,4,7,N,Winning,N,53,54,1,"[R0C18,R1C14]"
"20 15 2 2 2 2 2 2 2 2 1 1 1 1",20,15,8,4,2,N,Winning,N,55,55,1,"[R1C14]"
"16 16 2 2 2 2 2 2 2 2 1 1 1 1",16,16,8,4,0,P,Losing,P,52,52,0,"N/A (P-position)"
"17 16 2 2 2 2 2 2 2 2 1 1 1 1",17,16,8,4,4,N,Winning,N,53,53,1,"[R0C16]"
"18 16 2 2 2 2 2 2 2 2 1 1 1 1",18,16,8,4,0,P,Losing,P,54,54,0,"N/A (P-position)"
"19 16 2 2 2 2 2 2 2 2 1 1 1 1",19,16,8,4,8,N,Winning,N,55,55,1,"[R0C18]"
"20 16 2 2 2 2 2 2 2 2 1 1 1 1",20,16,8,4,0,P,Losing,P,56,56,0,"N/A (P-position)"
"17 17 2 2 2 2 2 2 2 2 1 1 1 1",17,17,8,4,0,P,Losing,P,54,54,0,"N/A (P-position)"
"18 17 2 2 2 2 2 2 2 2 1 1 1 1",18,17,8,4,6,N,Winning,N,55,55,2,"[R0C17] / [R1C16]"
"19 17 2 2 2 2 2 2 2 2 1 1 1 1",19,17,8,4,1,N,Winning,N,55,56,1,"[R0C18,R1C16]"
"20 17 2 2 2 2 2 2 2 2 1 1 1 1",20,17,8,4,2,N,Winning,N,57,57,1,"[R1C16]"
"18 18 2 2 2 2 2 2 2 2 1 1 1 1",18,18,8,4,0,P,Losing,P,56,56,0,"N/A (P-position)"
"19 18 2 2 2 2 2 2 2 2 1 1 1 1",19,18,8,4,3,N,Winning,N,57,57,1,"[R0C18]"
"20 18 2 2 2 2 2 2 2 2 1 1 1 1",20,18,8,4,0,P,Losing,P,58,58,0,"N/A (P-position)"
"19 19 2 2 2 2 2 2 2 2 1 1 1 1",19,19,8,4,0,P,Losing,P,58,58,0,"N/A (P-position)"
"20 19 2 2 2 2 2 2 2 2 1 1 1 1",20,19,8,4,6,N,Winning,N,59,59,2,"[R0C19] / [R1C18]"
"20 20 2 2 2 2 2 2 2 2 1 1 1 1",20,20,8,4,0,P,Losing,P,60,60,0,"N/A (P-position)"
"2 2 2 2 2 2 2 2 2 2 2 1 1 1 1",2,2,9,4,3,N,Winning,N,25,26,1,"[R10C1,R14C0]"
"3 2 2 2 2 2 2 2 2 2 2 1 1 1 1",3,2,9,4,6,N,Winning,N,25,27,1,"[R0C2,R10C1,R14C0]"
"4 2 2 2 2 2 2 2 2 2 2 1 1 1 1",4,2,9,4,0,P,Losing,P,28,28,0,"N/A (P-position)"
"5 2 2 2 2 2 2 2 2 2 2 1 1 1 1",5,2,9,4,6,N,Winning,N,29,29,1,"[R0C4]"
"6 2 2 2 2 2 2 2 2 2 2 1 1 1 1",6,2,9,4,0,P,Losing,P,30,30,0,"N/A (P-position)"
"7 2 2 2 2 2 2 2 2 2 2 1 1 1 1",7,2,9,4,1,N,Winning,N,31,31,1,"[R0C6]"
"8 2 2 2 2 2 2 2 2 2 2 1 1 1 1",8,2,9,4,0,P,Losing,P,32,32,0,"N/A (P-position)"
"9 2 2 2 2 2 2 2 2 2 2 1 1 1 1",9,2,9,4,3,N,Winning,N,33,33,1,"[R0C8]"
"10 2 2 2 2 2 2 2 2 2 2 1 1 1 1",10,2,9,4,0,P,Losing,P,34,34,0,"N/A (P-position)"
"11 2 2 2 2 2 2 2 2 2 2 1 1 1 1",11,2,9,4,1,N,Winning,N,35,35,1,"[R0C10]"
"12 2 2 2 2 2 2 2 2 2 2 1 1 1 1",12,2,9,4,0,P,Losing,P,36,36,0,"N/A (P-position)"
"13 2 2 2 2 2 2 2 2 2 2 1 1 1 1",13,2,9,4,2,N,Winning,N,37,37,1,"[R0C12]"
"14 2 2 2 2 2 2 2 2 2 2 1 1 1 1",14,2,9,4,0,P,Losing,P,38,38,0,"N/A (P-position)"
"15 2 2 2 2 2 2 2 2 2 2 1 1 1 1",15,2,9,4,4,N,Winning,N,39,39,1,"[R0C14]"
"16 2 2 2 2 2 2 2 2 2 2 1 1 1 1",16,2,9,4,0,P,Losing,P,40,40,0,"N/A (P-position)"
"17 2 2 2 2 2 2 2 2 2 2 1 1 1 1",17,2,9,4,1,N,Winning,N,41,41,1,"[R0C16]"
"18 2 2 2 2 2 2 2 2 2 2 1 1 1 1",18,2,9,4,0,P,Losing,P,42,42,0,"N/A (P-position)"
"19 2 2 2 2 2 2 2 2 2 2 1 1 1 1",19,2,9,4,3,N,Winning,N,43,43,1,"[R0C18]"
"20 2 2 2 2 2 2 2 2 2 2 1 1 1 1",20,2,9,4,0,P,Losing,P,44,44,0,"N/A (P-position)"
"3 3 2 2 2 2 2 2 2 2 2 1 1 1 1",3,3,9,4,2,N,Winning,N,27,28,1,"[R10C1,R14C0]"
"4 3 2 2 2 2 2 2 2 2 2 1 1 1 1",4,3,9,4,9,N,Winning,N,27,29,2,"[R1C2] / [R0C3,R10C1,R14C0]"
